Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2018-9-23,90,106,24467,2,7,5
2018-9-24,91,114,24469,2,10,8
2018-9-25,91,92,24515,46,24,-22
2018-9-26,91,83,24549,34,25,-9
2018-9-27,91,67,24578,29,13,-16
2018-9-28,91,82,24600,22,37,15
2018-9-29,91,80,24623,23,21,-2
2018-9-30,91,90,24623,0,10,10
2018-10-1,92,102,24623,0,12,12
2018-10-2,92,90,24673,50,38,-12
2018-10-3,92,97,24703,30,37,7
2018-10-4,92,102,24723,20,25,5
2018-10-5,92,105,24751,28,31,3
2018-10-6,92,102,24777,26,23,-3
2018-10-7,92,114,24782,5,17,12
2018-10-8,93,128,24785,3,17,14
2018-10-9,93,102,24832,47,21,-26
2018-10-10,93,77,24889,57,32,-25
2018-10-11,93,69,24931,42,34,-8
2018-10-12,93,73,24958,27,31,4
2018-10-13,93,71,24978,20,18,-2
2018-10-14,93,75,24983,5,9,4
2018-10-15,94,91,24985,2,18,16
2018-10-16,94,78,25039,54,41,-13
2018-10-17,94,76,25067,28,26,-2
2018-10-18,94,83,25089,22,29,7
2018-10-19,94,80,25119,30,27,-3
2018-10-20,94,89,25136,17,26,9
2018-10-21,94,97,25138,2,10,8
2018-10-22,95,113,25139,1,17,16
2018-10-23,95,104,25170,31,22,-9
2018-10-24,95,120,25176,6,22,16
2018-10-25,95,133,25193,17,30,13
2018-10-26,95,141,25204,11,19,8
2018-10-27,95,142,25223,19,20,1
2018-10-28,95,135,25243,20,13,-7
2018-10-29,96,148,25249,6,19,13
2018-10-30,96,150,25263,14,16,2
2018-10-31,96,144,25296,33,27,-6
2018-11-1,96,161,25310,14,31,17
2018-11-2,96,123,25376,66,28,-38
2018-11-3,96,134,25384,8,19,11
2018-11-4,96,137,25391,7,10,3
2018-11-5,97,116,25421,30,9,-21
